3_0; 3_1; 3_2; 3_3; 3_4; 3_5; 3_6; 3_7; 3_8; 3_9; 3_10; 3_11; 3_12
on ( [o-ɒ] [n-n] ); really # real-ly ˈrɪə.li ( [r-r] [e-ɪ] [a-ə] [ll-l] [y-i] ) NULL; something # some-thing ˈsʌm.θɪŋ ( [s-s] [o.e-ʌ] [m-m] [th-θ] [i-ɪ] [ng-ŋ] ) NULL; issue # is-sue ˈɪ.ʃuː ( [i-ɪ] [ss-ʃ] [ue-uː] ) NULL; away # a-way ə.ˈweɪ ( [a-ə] [w-w] [ay-eɪ] ) NULL; buying # buy-ing ˈbaɪ.ɪŋ ( [b-b] [uy-aɪ] [i-ɪ] [ng-ŋ] ) ing; seven # sev-en ˈsev.ən ( [s-s] [e-e] [v-v] [e-ə] [n-n] ) NULL; equip # e-quip ɪ.ˈkwɪp ( [e-ɪ] [q-k] [u-w] [i-ɪ] [p-p] ) NULL; gesture # ges-ture ˈdʒes.tʃər ( [g-dʒ] [e-e] [s-s] [t-tʃ] [u-ə] [r-r] [e-] ) NULL; other # oth-er ˈʌð.ə ( [o-ʌ] [th-ð] [er-ə] ) NULL; develop # de-ve-lop dɪ.ˈve.ləp ( [d-d] [e-ɪ] [v-v] [e-e] [l-l] [o-ə] [p-p] ) NULL; security # se-cu-ri-ty sɪ.ˈkjʊə.rɪ.ti ( [s-s] [e-ɪ] [c-k] [u-jʊə] [r-r] [i-ɪ] [t-t] [y-i] ) ity; investigation # in-ve-sti-ga-tion ɪn.ˌve.stɪ.ˈgeɪʃ.ən ( [i-ɪ] [n-n] [v-v] [e-e] [s-s] [t-t] [i-ɪ] [g-g] [a-eɪ] [ti-ʃ] [o-ə] [n-n] ) NULL
we ( [w-w] [e-i] ); country # countr-y ˈkʌntr.i ( [c-k] [ou-ʌ] [n-n] [t-t] [r-r] [y-i] ) NULL; ago # a-go ə.ˈgəʊ ( [a-ə] [g-g] [o-əʊ] ) NULL; until # un-til ʌn.ˈtɪl ( [u-ʌ] [n-n] [t-t] [i-ɪ] [l-l] ) NULL; ever # e-ver ˈe.və ( [e-e] [v-v] [er-ə] ) NULL; someone # some-one ˈsʌm.wʌn ( [s-s] [o.e-ʌ] [m-m] [one-wʌn] ) NULL; legal # leg-al ˈliːg.əl ( [l-l] [e-iː] [g-g] [a-ə] [l-l] ) al; liquid # li-quid ˈlɪ.kwɪd ( [l-l] [i-ɪ] [q-k] [u-w] [i-ɪ] [d-d] ) NULL; venture # ven-ture ˈven.tʃər ( [v-v] [e-e] [n-n] [t-tʃ] [u-ə] [r-r] [e-] ) NULL; woman # wo-man ˈwʊ.mən ( [w-w] [o-ʊ] [m-m] [a-ə] [n-n] ) NULL; Iraqi # i-ra-qi ɪ.ˈrɑː.ki ( [i-ɪ] [r-r] [a-ɑː] [q-k] [i-i] ) NULL; analysis # a-na-ly-sis ə.ˈnæ.lə.sɪs ( [a-ə] [n-n] [a-æ] [l-l] [y-ə] [s-s] [i-ɪ] [s-s] ) NULL; communication # com-mu-nic-a-tion kə.ˌmjuː.nɪˈk.eɪʃ.ən ( [c-k] [o-ə] [mm-m] [u-juː] [n-n] [i-ɪ] [c-k] [a-eɪ] [ti-ʃ] [o-ə] [n-n] ) NULL
at ( [a-æ] [t-t] ); able # ab-le ˈeɪb.əl ( [a-eɪ] [b-b] [le-əl] ) NULL; via # vi-a ˈvaɪ.ə ( [v-v] [i-aɪ] [a-ə] ) NULL; often # of-ten ˈɒf.tən ( [o-ɒ] [f-f] [t-t] [e-ə] [n-n] ) NULL; city # ci-ty ˈsɪ.ti ( [c-s] [i-ɪ] [t-t] [y-i] ) NULL; diet # di-et ˈdaɪ.ət ( [d-d] [i-aɪ] [e-ə] [t-t] ) NULL; final # fin-al ˈfaɪn.əl ( [f-f] [i-aɪ] [n-n] [a-ə] [l-l] ) al; squeezes # sque-ezes ˈskwiː.zɪz ( [s-s] [q-k] [u-w] [ee-iː] [z-z] [e-ɪ] [s-z] ) s; lecture # lec-ture ˈlek.tʃər ( [l-l] [e-e] [c-k] [t-tʃ] [u-ə] [r-r] [e-] ) NULL; after # af-ter ˈɑːf.tə ( [a-ɑː] [f-f] [t-t] [er-ə] ) NULL; enemy # e-ne-my ˈe.nə.mi ( [e-e] [n-n] [e-ə] [m-m] [y-i] ) NULL; identify # i-den-ti-fy aɪ.ˈden.tɪ.faɪ ( [i-aɪ] [d-d] [e-e] [n-n] [t-t] [i-ɪ] [f-f] [y-aɪ] ) NULL; significantly # sig-ni-fic-ant-ly sɪg.ˈnɪ.fɪk.ənt.li ( [s-s] [i-ɪ] [g-g] [n-n] [i-ɪ] [f-f] [i-ɪ] [c-k] [a-ə] [n-n] [t-t] [l-l] [y-i] ) NULL
by ( [b-b] [y-aɪ] ); onto # on-to ˈɒn.tu ( [o-ɒ] [n-n] [t-t] [o-u] ) NULL; away # a-way ə.ˈweɪ ( [a-ə] [w-w] [ay-eɪ] ) NULL; allow # al-low ə.ˈlaʊ ( [a-ə] [ll-l] [ow-aʊ] ) NULL; body # bo-dy ˈbɒ.di ( [b-b] [o-ɒ] [d-d] [y-i] ) NULL; poem # po-em ˈpəʊ.ɪm ( [p-p] [o-əʊ] [e-ɪ] [m-m] ) NULL; exist # ex-ist ɪg.ˈzɪst ( [e-ɪ] [x-gz] [i-ɪ] [s-s] [t-t] ) NULL; sequence # se-quence ˈsiː.kwəns ( [s-s] [e-iː] [q-k] [u-w] [e-ə] [n-n] [ce-s] ) NULL; texture # tex-ture ˈteks.tʃər ( [t-t] [e-e] [x-ks] [t-tʃ] [u-ə] [r-r] [e-] ) NULL; never # ne-ver ˈne.və ( [n-n] [e-e] [v-v] [er-ə] ) NULL; energy # e-ner-gy ˈe.nə.dʒi ( [e-e] [n-n] [er-ə] [g-dʒ] [y-i] ) NULL; political # po-li-tic-al pə.ˈlɪ.tɪk.əl ( [p-p] [o-ə] [l-l] [i-ɪ] [t-t] [i-ɪ] [c-k] [a-ə] [l-l] ) al; responsibility # re-spon-si-bi-li-ty rɪ.ˌspɒn.sɪ.ˈbɪ.lɪ.ti ( [r-r] [e-ɪ] [s-s] [p-p] [o-ɒ] [n-n] [s-s] [i-ɪ] [b-b] [i-ɪ] [l-l] [i-ɪ] [t-t] [y-i] ) ility
or ( [or-ɔː] ); okay # ok-ay ˌəʊˈk.eɪ ( [o-əʊ] [k-k] [ay-eɪ] ) NULL; ever # e-ver ˈe.və ( [e-e] [v-v] [er-ə] ) NULL; party # par-ty ˈpɑː.ti ( [p-p] [ar-ɑː] [t-t] [y-i] ) y; open # o-pen ˈəʊ.pən ( [o-əʊ] [p-p] [e-ə] [n-n] ) NULL; truer # tru-er ˈtruː.ə ( [t-t] [r-r] [u-uː] [er-ə] ) er; total # tot-al ˈtəʊt.əl ( [t-t] [o-əʊ] [t-t] [a-ə] [l-l] ) al; frequent # fre-quent frɪ.ˈkwent ( [f-f] [r-r] [e-ɪ] [q-k] [u-w] [e-e] [n-n] [t-t] ) NULL;  ; people # peop-le ˈpiːp.əl ( [p-p] [eo-iː] [p-p] [le-əl] ) NULL; anyone # a-ny-one ˈe.ni.wʌn ( [a-e] [n-n] [y-i] [one-wʌn] ) NULL; community # com-mu-ni-ty kə.ˈmjuː.nɪ.ti ( [c-k] [o-ə] [mm-m] [u-juː] [n-n] [i-ɪ] [t-t] [y-i] ) ity; characteristic # cha-rac-te-ri-stic ˌkæ.rək.tə.ˈrɪ.stɪk ( [ch-k] [a-æ] [r-r] [a-ə] [c-k] [t-t] [e-ə] [r-r] [i-ɪ] [s-s] [t-t] [i-ɪ] [c-k] ) NULL
as ( [a-æ] [s-z] ); army # ar-my ˈɑː.mi ( [ar-ɑː] [m-m] [y-i] ) NULL; city # ci-ty ˈsɪ.ti ( [c-s] [i-ɪ] [t-t] [y-i] ) NULL; early # ear-ly ˈɜː.li ( [ear-ɜː] [l-l] [y-i] ) NULL; data # da-ta ˈdeɪ.tə ( [d-d] [a-eɪ] [t-t] [a-ə] ) NULL; trial # tri-al ˈtraɪ.əl ( [t-t] [r-r] [i-aɪ] [a-ə] [l-l] ) al; dozen # doz-en ˈdʌz.ən ( [d-d] [o-ʌ] [z-z] [e-ə] [n-n] ) NULL; required # re-quired rɪ.ˈkwaɪ.əd ( [r-r] [e-ɪ] [q-k] [u-w] [i-aɪ] [re-ə] [d-d] ) NULL;  ; really # real-ly ˈrɪə.li ( [r-r] [e-ɪ] [a-ə] [ll-l] [y-i] ) NULL; agency # a-gen-cy ˈeɪ.dʒən.si ( [a-eɪ] [g-dʒ] [e-ə] [n-n] [c-s] [y-i] ) NULL; education # e-duc-a-tion ˌe.dʒʊˈk.eɪʃ.ən ( [e-e] [d-dʒ] [u-ʊ] [c-k] [a-eɪ] [ti-ʃ] [o-ə] [n-n] ) NULL; evaluation # e-va-lu-a-tion ɪ.ˌvæ.ljʊ.ˈeɪʃ.ən ( [e-ɪ] [v-v] [a-æ] [l-l] [u-jʊ] [a-eɪ] [ti-ʃ] [o-ə] [n-n] ) NULL
go ( [g-g] [o-əʊ] ); ring # r-ing rɪŋ ( [r-r] [i-ɪ] [ng-ŋ] ) NULL; body # bo-dy ˈbɒ.di ( [b-b] [o-ɒ] [d-d] [y-i] ) NULL; offer # of-fer ˈɒ.fə ( [o-ɒ] [ff-f] [er-ə] ) NULL; easy # ea-sy ˈiː.zi ( [ea-iː] [s-z] [y-i] ) y; quiet # qui-et ˈkwaɪ.ət ( [q-k] [u-w] [i-aɪ] [e-ə] [t-t] ) NULL; metal # met-al ˈmet.əl ( [m-m] [e-e] [t-t] [a-ə] [l-l] ) al; squareness # square-ness ˈskweə.nəs ( [s-s] [q-k] [u-w] [are-eə] [n-n] [e-ə] [ss-s] ) ness;  ; become # be-come bɪ.ˈkʌm ( [b-b] [e-ɪ] [c-k] [o.e-ʌ] [m-m] ) NULL; animal # a-nim-al ˈæ.nɪm.əl ( [a-æ] [n-n] [i-ɪ] [m-m] [a-ə] [l-l] ) al; situation # si-tu-a-tion ˌsɪ.tʃʊ.ˈeɪʃ.ən ( [s-s] [i-ɪ] [t-tʃ] [u-ʊ] [a-eɪ] [ti-ʃ] [o-ə] [n-n] ) NULL; disability # di-sa-bi-li-ty ˌdɪ.sə.ˈbɪ.lɪ.ti ( [d-d] [i-ɪ] [s-s] [a-ə] [b-b] [i-ɪ] [l-l] [i-ɪ] [t-t] [y-i] ) ility
if ( [i-ɪ] [f-f] ); user # us-er ˈjuːz.ə ( [u-juː] [s-z] [er-ə] ) NULL; open # o-pen ˈəʊ.pən ( [o-əʊ] [p-p] [e-ə] [n-n] ) NULL; number # num-ber ˈnʌm.bə ( [n-n] [u-ʌ] [m-m] [b-b] [er-ə] ) NULL; baby # ba-by ˈbeɪ.bi ( [b-b] [a-eɪ] [b-b] [y-i] ) NULL; drier # dri-er ˈdraɪ.ə ( [d-d] [r-r] [i-aɪ] [er-ə] ) er; panel # pan-el ˈpæn.əl ( [p-p] [a-æ] [n-n] [el-əl] ) NULL;  ;  ; because # be-cause bɪ.ˈkɒz ( [b-b] [e-ɪ] [c-k] [au-ɒ] [s-z] [e-] ) NULL; theory # the-o-ry ˈθi.ə.ri ( [th-θ] [e-i] [o-ə] [r-r] [y-i] ) NULL; available # a-vai-lab-le ə.ˈveɪ.ləb.əl ( [a-ə] [v-v] [ai-eɪ] [l-l] [a-ə] [b-b] [le-əl] ) able; elementary # e-le-men-ta-ry ˌe.lɪ.ˈmen.tə.ri ( [e-e] [l-l] [e-ɪ] [m-m] [e-e] [n-n] [t-t] [a-ə] [r-r] [y-i] ) NULL
my ( [m-m] [y-aɪ] ); wing # w-ing wɪŋ ( [w-w] [i-ɪ] [ng-ŋ] ) NULL; data # da-ta ˈdeɪ.tə ( [d-d] [a-eɪ] [t-t] [a-ə] ) NULL; happen # hap-pen ˈhæ.pən ( [h-h] [a-æ] [pp-p] [e-ə] [n-n] ) NULL; fire # fi-re ˈfaɪ.ə ( [f-f] [i-aɪ] [re-ə] ) NULL; being # be-ing ˈbiː.ɪŋ ( [b-b] [e-iː] [i-ɪ] [ng-ŋ] ) NULL; novel # nov-el ˈnɒv.əl ( [n-n] [o-ɒ] [v-v] [el-əl] ) NULL;  ;  ; between # be-tween bɪ.ˈtwiːn ( [b-b] [e-ɪ] [t-t] [w-w] [ee-iː] [n-n] ) NULL; entire # en-ti-re ɪn.ˈtaɪ.ə ( [e-ɪ] [n-n] [t-t] [i-aɪ] [re-ə] ) NULL; everybody # eve-ry-bod-y ˈev.rɪ.ˌbɒd.i ( [e-e] [v-v] [e-] [r-r] [y-ɪ] [b-b] [o-ɒ] [d-d] [y-i] ) NULL; biological # bi-o-lo-gic-al ˌbaɪ.ə.ˈlɒ.dʒɪk.əl ( [b-b] [i-aɪ] [o-ə] [l-l] [o-ɒ] [g-dʒ] [i-ɪ] [c-k] [a-ə] [l-l] ) al
up ( [u-ʌ] [p-p] ); under # und-er ˈʌnd.ə ( [u-ʌ] [n-n] [d-d] [er-ə] ) NULL; easy # ea-sy ˈiː.zi ( [ea-iː] [s-z] [y-i] ) y; always # al-ways ˈɔːl.weɪz ( [a-ɔː] [l-l] [w-w] [ay-eɪ] [s-z] ) NULL; upon # u-pon ə.ˈpɒn ( [u-ə] [p-p] [o-ɒ] [n-n] ) NULL; ocean # oce-an ˈəʊʃ.ən ( [o-əʊ] [ce-ʃ] [a-ə] [n-n] ) NULL; lower # low-er ˈləʊ.ə ( [l-l] [ow-əʊ] [er-ə] ) NULL;  ;  ; student # stu-dent ˈstjuː.dənt ( [s-s] [t-t] [u-juː] [d-d] [e-ə] [n-n] [t-t] ) NULL; memory # me-mo-ry ˈme.mə.ri ( [m-m] [e-e] [m-m] [o-ə] [r-r] [y-i] ) NULL; executive # ex-e-cu-tive ɪg.ˈze.kjʊ.tɪv ( [e-ɪ] [x-gz] [e-e] [c-k] [u-jʊ] [t-t] [i.e-ɪ] [v-v] ) NULL; association # as-so-ci-a-tion ə.ˌsəʊ.ʃi.ˈeɪʃ.ən ( [a-ə] [ss-s] [o-əʊ] [ci-ʃi] [a-eɪ] [ti-ʃ] [o-ə] [n-n] ) NULL
